method,budget_percent,budget_episodes,coreset_file,seed,selected_episodes,train_frames,val_frames,test_frames,best_epoch,best_val_normalized_mse,val_normalized_mse,val_normalized_action_0_mse,val_normalized_action_1_mse,val_normalized_action_2_mse,val_normalized_action_3_mse,val_normalized_action_4_mse,val_normalized_action_5_mse,val_normalized_action_6_mse,test_normalized_mse,test_normalized_action_0_mse,test_normalized_action_1_mse,test_normalized_action_2_mse,test_normalized_action_3_mse,test_normalized_action_4_mse,test_normalized_action_5_mse,test_normalized_action_6_mse,val_original_mse,val_original_action_0_mse,val_original_action_1_mse,val_original_action_2_mse,val_original_action_3_mse,val_original_action_4_mse,val_original_action_5_mse,val_original_action_6_mse,test_original_mse,test_original_action_0_mse,test_original_action_1_mse,test_original_action_2_mse,test_original_action_3_mse,test_original_action_4_mse,test_original_action_5_mse,test_original_action_6_mse
Random,2,1,data/coresets/budget_random_2pct_seed0.json,0,24,400,2000,2000,172,18.484182834625244,18.64089012145996,128.26937866210938,0.05195154249668121,0.06710906326770782,0.5321347713470459,0.2793066203594208,0.8263720273971558,0.4599791169166565,17.931840896606445,122.30195617675781,0.07804197818040848,0.15463173389434814,0.7295100092887878,0.19456985592842102,1.5385229587554932,0.5256472826004028,0.007592303212732077,7.388056837953627e-05,0.004428180865943432,0.0019953791052103043,0.001586888451129198,0.004956139717251062,0.0025330600328743458,0.03757259622216225,0.00922869611531496,7.044332596706226e-05,0.006652039475739002,0.004597716499119997,0.002175485948100686,0.003452533623203635,0.0047159879468381405,0.04293666407465935
Random,2,1,data/coresets/budget_random_2pct_seed1.json,1,8,400,2000,2000,26,12.61094331741333,12.495684623718262,1.6832880973815918,0.07901831716299057,0.12958820164203644,84.21128845214844,0.2534588575363159,0.6202992796897888,0.49285680055618286,5.720019817352295,1.6543700695037842,0.16046808660030365,0.27660390734672546,36.90987777709961,0.17571809887886047,0.3441534638404846,0.5189459919929504,0.010494619607925415,0.00010777895658975467,0.006172848399728537,0.0035413186997175217,0.004986342508345842,0.006562270689755678,0.007711048237979412,0.044380735605955124,0.011134827509522438,0.0001059273854480125,0.012535649351775646,0.00755890179425478,0.002185518154874444,0.004549497272819281,0.004278241191059351,0.04673006013035774
Random,2,1,data/coresets/budget_random_2pct_seed2.json,2,3,400,2000,2000,1,761.7986755371094,769.3328857421875,5369.01708984375,1.206977128982544,1.4840145111083984,9.089103698730469,1.2892930507659912,2.001708507537842,1.2426410913467407,727.63720703125,5082.841796875,1.271536111831665,1.0602844953536987,4.002015113830566,1.29121732711792,1.7328522205352783,1.261375069618225,0.03497191146016121,0.00021722278324887156,0.0811399444937706,0.033609870821237564,0.004882460460066795,0.01771351508796215,0.01215026993304491,0.09509009122848511,0.03380439803004265,0.00020564674923662096,0.08548002690076828,0.024013249203562737,0.002149792155250907,0.01773993857204914,0.010518329218029976,0.09652382135391235
Random,2,1,data/coresets/budget_random_2pct_seed3.json,3,15,400,2000,2000,9,2.5975877046585083,2.610424518585205,13.911089897155762,0.17617718875408173,0.2907315790653229,2.5133848190307617,0.23703192174434662,0.5414609909057617,0.6030958294868469,2.410876989364624,13.568305015563965,0.24097824096679688,0.41193756461143494,1.110146403312683,0.24796266853809357,0.7840044498443604,0.5128032565116882,0.01409447006881237,0.00024304581165779382,0.014432701282203197,0.008016826584935188,0.003005770966410637,0.0048183719627559185,0.0025040153414011,0.06564056128263474,0.01387777365744114,0.00023705742205493152,0.019741296768188477,0.011359035037457943,0.001327631063759327,0.005040556658059359,0.003625668818131089,0.055813174694776535
Random,2,1,data/coresets/budget_random_2pct_seed4.json,4,15,400,2000,2000,18,2.5119199752807617,2.5258700847625732,14.594720840454102,0.11096377670764923,0.14134137332439423,1.6452691555023193,0.23732805252075195,0.5041566491127014,0.447313517332077,2.4220192432403564,14.327348709106445,0.1852899044752121,0.2470964640378952,0.891705334186554,0.21907742321491241,0.6820425391197205,0.4015730321407318,0.010150216519832611,0.00025498963077552617,0.009090310893952847,0.0038974371273070574,0.001967586111277342,0.004824396222829819,0.002331499243155122,0.04868529736995697,0.010660573840141296,0.0002503185532987118,0.01517922431230545,0.006813601590692997,0.0010663964785635471,0.004453385714441538,0.0031541420612484217,0.043706949800252914
PC-RAS,2,1,data/coresets/budget_pc_ras_2pct_top1.json,0,36,400,2000,2000,19,0.4859890788793564,0.48436614871025085,0.7856623530387878,0.11141155660152435,0.23103538155555725,0.6193840503692627,0.19867919385433197,0.8877760767936707,0.5566142797470093,0.6876886487007141,0.7635207772254944,0.16634875535964966,0.3107253909111023,0.9321449995040894,0.1888391226530075,1.7400243282318115,0.7122169733047485,0.009546177461743355,0.00016759539721533656,0.007950597442686558,0.004564439877867699,0.002463866723701358,0.0036174210254102945,0.003021335694938898,0.04503798857331276,0.012695609591901302,0.0001628722093300894,0.011871077120304108,0.00613882252946496,0.0037080137990415096,0.003438255749642849,0.005921763833612204,0.057628460228443146
PC-RAS,2,1,data/coresets/budget_pc_ras_2pct_top1.json,1,36,400,2000,2000,104,0.4660241901874542,0.4649598300457001,1.007285475730896,0.06650345027446747,0.15672516822814941,0.5039687752723694,0.15791131556034088,1.0302680730819702,0.33205655217170715,0.7227274775505066,1.0131654739379883,0.10248283296823502,0.18293805420398712,0.8513282537460327,0.12697766721248627,2.0703787803649902,0.7118216156959534,0.006187328137457371,0.00021487157209776342,0.004745855927467346,0.003096332773566246,0.002004758920520544,0.0028751445934176445,0.0035062662791460752,0.026868067681789398,0.011640685610473156,0.00021612620912492275,0.0073134456761181355,0.0036142030730843544,0.0033865300938487053,0.0023119263350963593,0.007046045735478401,0.05759652331471443
PC-RAS,2,1,data/coresets/budget_pc_ras_2pct_top1.json,2,36,400,2000,2000,48,0.47804203629493713,0.4770973026752472,0.8701854944229126,0.08848533779382706,0.16426770389080048,0.6171355247497559,0.15184232592582703,1.045650839805603,0.40211382508277893,0.7231566309928894,0.8360488414764404,0.1477435827255249,0.2227928191423416,0.951938807964325,0.13644033670425415,2.0798559188842773,0.687276303768158,0.007294334005564451,0.00018562590412329882,0.006314547266811132,0.003245340194553137,0.0024549250956624746,0.002764643169939518,0.0035586217418313026,0.03253663331270218,0.012011830694973469,0.00017834396567195654,0.010543359443545341,0.004401579964905977,0.0037867582868784666,0.002484216820448637,0.007078301627188921,0.05561025068163872
PC-RAS,2,1,data/coresets/budget_pc_ras_2pct_top1.json,3,36,400,2000,2000,112,0.46891017258167267,0.46790507435798645,0.9736625552177429,0.07305403798818588,0.1521822065114975,0.5110887885093689,0.15508955717086792,1.0641117095947266,0.34614667296409607,0.7255918383598328,0.9562727212905884,0.10664556175470352,0.1805240660905838,0.8586266040802002,0.12452560663223267,2.117583751678467,0.7349646687507629,0.006416296120733023,0.00020769948605448008,0.005213328171521425,0.0030065765604376793,0.0020330785773694515,0.0028237656224519014,0.003621447365731001,0.02800818160176277,0.01196281611919403,0.00020398948981892318,0.007610507775098085,0.0035665121395140886,0.003415569430217147,0.002267280826345086,0.007206690032035112,0.05946916341781616
PC-RAS,2,1,data/coresets/budget_pc_ras_2pct_top1.json,4,36,400,2000,2000,20,0.48963762819767,0.4878503382205963,0.7923459410667419,0.11377102881669998,0.24088621139526367,0.6219618916511536,0.19384828209877014,0.9371836185455322,0.514955461025238,0.6971830129623413,0.7911900877952576,0.1741034984588623,0.2718186378479004,0.9363207221031189,0.15265746414661407,1.91078519821167,0.6434054970741272,0.009129616431891918,0.000169021324836649,0.00811898335814476,0.004759037401527166,0.0024741273373365402,0.0035294611006975174,0.003189476439729333,0.041667211800813675,0.011861567385494709,0.00016877465532161295,0.012424471788108349,0.005370154045522213,0.0037246241699904203,0.002779486123472452,0.006502904463559389,0.052060555666685104
Random,5,2,data/coresets/budget_random_5pct_seed0.json,0,24 26,800,2000,2000,62,0.5350332409143448,0.5365023016929626,1.800682544708252,0.04515375196933746,0.07311204075813293,0.4887203872203827,0.1800784021615982,0.7591585516929626,0.4086105227470398,0.6518054008483887,1.5128613710403442,0.09807471930980682,0.16336652636528015,0.7006551027297974,0.09280265867710114,1.4497084617614746,0.5451689958572388,0.007543250918388367,0.00013390100502874702,0.004265139810740948,0.0021469267085194588,0.0015589460963383317,0.003809383837506175,0.0024358807131648064,0.03845257684588432,0.010618148371577263,0.0001124985865317285,0.009263955056667328,0.004797228146344423,0.002234985586255789,0.00196314905770123,0.004651612136512995,0.05130361020565033
Random,5,2,data/coresets/budget_random_5pct_seed1.json,1,8 36,800,2000,2000,31,0.32940614223480225,0.32858720421791077,0.6743161678314209,0.07276196777820587,0.11841212958097458,0.5573405027389526,0.18684087693691254,0.22984468936920166,0.4605940282344818,0.3259293735027313,0.5996402502059937,0.1451539695262909,0.21881167590618134,0.4091101288795471,0.12961643934249878,0.2953639328479767,0.483809232711792,0.008135749027132988,0.00010121543891727924,0.005494181998074055,0.0028418698348104954,0.0018112834077328444,0.004162627272307873,0.002339488361030817,0.04019957780838013,0.009393034502863884,9.000660793390125e-05,0.010960422456264496,0.005251447670161724,0.001329556223936379,0.0028877262957394123,0.003006379120051861,0.04222569614648819
Random,5,2,data/coresets/budget_random_5pct_seed2.json,2,3 5,800,2000,2000,15,1.2829972505569458,1.274932622909546,1.2387969493865967,0.1295529007911682,0.14326001703739166,6.090980529785156,0.29430338740348816,0.5051678419113159,0.5224666595458984,0.7559311985969543,1.2640531063079834,0.10766007751226425,0.272208571434021,2.6480460166931152,0.23489050567150116,0.34880468249320984,0.41585540771484375,0.011943324469029903,0.00015073674148879945,0.009417299181222916,0.0035189432092010975,0.003930197563022375,0.003586054313927889,0.0039754887111485004,0.05902455002069473,0.009851730428636074,0.00015381042612716556,0.007825890555977821,0.006686348933726549,0.0017086463049054146,0.0028621095698326826,0.002744966885074973,0.046980343759059906
Random,5,2,data/coresets/budget_random_5pct_seed3.json,3,15 37,800,2000,2000,26,0.4486636817455292,0.4476730525493622,1.0887056589126587,0.07941846549510956,0.10961638391017914,0.6794566512107849,0.20910492539405823,0.5790852904319763,0.38832366466522217,0.47987350821495056,0.9939744472503662,0.14606641232967377,0.20776277780532837,0.5576614141464233,0.15485408902168274,0.9437987208366394,0.35499677062034607,0.009634832851588726,0.00010339108121115714,0.007600081153213978,0.003401131834834814,0.0018393169157207012,0.004636992700397968,0.0021402863785624504,0.04772263392806053,0.010368214920163155,9.439474524697289e-05,0.013978041708469391,0.006446390878409147,0.0015096089337021112,0.0034339595586061478,0.003488264512270689,0.043626848608255386
Random,5,2,data/coresets/budget_random_5pct_seed4.json,4,15 19,800,2000,2000,47,0.5709778964519501,0.5733561515808105,2.3978140354156494,0.041741348803043365,0.08345320075750351,0.6393871307373047,0.17737960815429688,0.30155396461486816,0.3721635937690735,0.5796718001365662,2.2657268047332764,0.07197560369968414,0.10863209515810013,0.6523976922035217,0.20114827156066895,0.3487347960472107,0.40908700227737427,0.006329793017357588,0.00016318581765517592,0.0033132846001535654,0.0021666630636900663,0.0014351292047649622,0.003795239143073559,0.0018331363098695874,0.0316019132733345,0.007330440450459719,0.00015419640112668276,0.005713179707527161,0.002820367459207773,0.0014643322210758924,0.004303801339119673,0.002119947224855423,0.03473725914955139
PC-RAS,5,2,data/coresets/budget_pc_ras_5pct_top2.json,0,36 20,800,2000,2000,17,0.38592223823070526,0.38488245010375977,0.9450731873512268,0.05492551252245903,0.1088380441069603,0.4846610426902771,0.18397080898284912,0.4020083546638489,0.5147001147270203,0.5073911547660828,0.9629441499710083,0.11944582313299179,0.20720547437667847,0.5918061137199402,0.16876967251300812,0.8506391644477844,0.6509280204772949,0.009240737184882164,0.00013834558194503188,0.004813353065401316,0.002906220266595483,0.001718936488032341,0.005356869660317898,0.0023861252702772617,0.04736530780792236,0.012586464174091816,0.00014096182712819427,0.01046753115952015,0.005532860290259123,0.002098948461934924,0.004914250690490007,0.005048984661698341,0.05990171432495117
PC-RAS,5,2,data/coresets/budget_pc_ras_5pct_top2.json,1,36 20,800,2000,2000,59,0.38631467521190643,0.38506415486335754,1.1731719970703125,0.04981455206871033,0.05396454781293869,0.4717669188976288,0.17539654672145844,0.439594566822052,0.3317398428916931,0.5446006059646606,1.2426337003707886,0.11583857983350754,0.13718688488006592,0.7448583245277405,0.1078929752111435,0.9528917670249939,0.5109020471572876,0.006556598003953695,0.00017173614469356835,0.004365449771285057,0.0014409763971343637,0.001673202496021986,0.00510719558224082,0.0026092184707522392,0.03052840754389763,0.010350235737860203,0.00018190448463428766,0.010151412338018417,0.003663203213363886,0.002641771687194705,0.0031416346319019794,0.0056559015065431595,0.04701582342386246
PC-RAS,5,2,data/coresets/budget_pc_ras_5pct_top2.json,2,36 20,800,2000,2000,8,0.37937985360622406,0.3782398998737335,0.6814781427383423,0.11187247186899185,0.13823163509368896,0.48545634746551514,0.22095619142055511,0.4551033675670624,0.5545811057090759,0.4585270881652832,0.6828254461288452,0.2088623195886612,0.2160591036081314,0.427496999502182,0.19009245932102203,0.8274022936820984,0.6569509506225586,0.010783853009343147,9.975922876037657e-05,0.009803843684494495,0.003691096557304263,0.0017217578133568168,0.0064338198862969875,0.0027012722566723824,0.05103542283177376,0.013798721134662628,9.995625441661105e-05,0.01830347627401352,0.005769267212599516,0.0015161935007199645,0.00553513178601861,0.004911052528768778,0.06045597046613693
PC-RAS,5,2,data/coresets/budget_pc_ras_5pct_top2.json,3,36 20,800,2000,2000,22,0.3936094492673874,0.39249423146247864,0.9123976826667786,0.07475852966308594,0.10260345786809921,0.4903971552848816,0.19434607028961182,0.45773541927337646,0.515221357345581,0.4868016242980957,0.9372437000274658,0.15504315495491028,0.2042149007320404,0.5190727710723877,0.13980253040790558,0.8734827637672424,0.5787515640258789,0.009564722888171673,0.00013356258568819612,0.006551396567374468,0.0027397440280765295,0.0017392785521224141,0.005658977199345827,0.0027168907690793276,0.047413215041160583,0.011933323927223682,0.00013719976413995028,0.013587083667516708,0.005453003104776144,0.0018409823533147573,0.004070772789418697,0.005184559617191553,0.05325966328382492
